"팩스번호","연락처","홈페이지","소재지","관리기관명","기관명","시군구명","고유번호"
"-","055-864-3580","-","남해군 남해읍 화전로78번길 26","","남천군민회관","남해군","2066827"
"-","055-940-3531","http://www.geochang.go.kr/gcwc/Index.do","거창군 거창읍 수남로 2181","","거창문화센터","거창군","2066826"
"-","055-970-6481","-","산청군 금서면 친환경로2631번길 12","","산청문화예술회관","산청군","2066825"
"055-880-2369","055-880-2401","tour.hadong.go.kr/02feel/04_02.asp","하동군 하동읍 섬진강대로 2222","","하동문화예술회관","하동군","2066824"
"-","055-860-3716","www.namhae.go.kr/sports/Index.do?c=EE0201040000","남해군 남해읍 선소로 12","","남해군문화체육센터","남해군","2066823"
"-","055-673-6267","-","고성군 고성읍 기월리 83-10","","고성군문화체육센터","고성군","2066822"
"055-580-3609","055-580-3606","hamanart.or.kr","함안군 가야읍 함안대로 619-1","","함안문화예술회관","함안군","2066821"
"055-570-4924","055-570-4920","culture.uiryeong.go.kr","의령군 의령읍 의병로24길 31-1","","의령군민문화회관","의령군","2066820"
"055-379-8569","055-379-8550","www.yangsanart.net","양산시 중앙로 39-1 (남부동)","","양산문화예술회관","양산시","2066819"
"055-680-1007","055-680-1000","www.geojeart.or.kr","거제시 장승로 145(장승포동)","","거제문화예술회관","거제시","2066818"
"055-320-1219","055-320-1234","www.gasc.or.kr","김해시 김해대로 2062 (내동)","","김해문화의전당","김해시","2066817"
"055-831-2470","055-831-2460","art.sacheon.go.kr","사천시 삼천포대교로 471 (동림동)","","사천시문화예술회관","사천시","2066816"
"-","055-648-8417","www.tongyeong.go.kr/ty/tongyong_citizen","통영시 남망공원길 29 (동호동)","","통영시민문화회관","통영시","2066815"
"055-547-9526","055-544-1289","www.cwcf.or.kr/facility/facility_jhcc.asp","창원시 진해구 진해대로 325 (태백동)","","진해문화센터","창원시","2066814"
"055-293-1959","055-286-0315","www.cwcf.or.kr/facility/facility_315art.asp","창원시 마산회원구 삼호로 135","","315아트센터","창원시","2066813"
"055-268-7907","055-268-7900","www.cwcf.or.kr/facility/facility_sungsan.asp","창원시 의창구 중앙로 181 (용호동)","","성산아트홀","창원시","2066812"
"055-254-4419","1544-6711","www.gncac.com","진주시 강남로 215 (칠암동)","","경상남도문화예술회관","진주시","2066811"
"-","055-749-2049","-","진주시 남강로1번길 126 (판문동) (진양호 공원사업소 내)","","진주전통예술회관","진주시","2066682"
"-","055-940-3531~3","http://www.gcwc.go.kr/sub/01_02.asp","거창군 거창읍 수남로 2181","","거창문화센터","거창군","2066680"
"055-353-4663","055-359-6263","-","밀양시 삼문송림길 21","","밀양문화체육회관","밀양시","2066679"
"055-930-3739","055-930-3732","-","합천군 합천읍 황강체육공원로 93","","합천군문화예술회관","합천군","2066678"
"-","055-831-2460~3","-","사천시 삼천포대교로 471 (동림동)","","사천문화예술회관","사천시","2066677"
