"시군명","연락처","행사주최","장소","시간","행사종료일","행사시작일","내용","제목","고유번호"
"합천군","055-930-3172","합천색소폰동호회","합천군 문화예술회관 공연장","17:00","2022-12-03","2022-12-03","합천색소폰 정기연주회","합천색소폰 정기연주회","41843048"
"합천군","055-930-3184","합천군합창단","합천군 문화예술회관 공연장","19:00","2022-12-01","2022-12-01","합천군합창단 정기연주회","제21회 합천군합창단 정기연주회","41843047"
"거창군","055-940-8460","(재)거창문화재단","거창문화센터공연장","19:30","2022-12-07","2022-12-07","공연내용 : 거창문화재단 문화아카데미 성과발표회 입장료 : 무료","2022 거창문화재단 문화아카데미      성과발표회","41843046"
"거창군","055-940-8460","한국사진작가협회거창지부","거창문화센터전시실","10:00 ~ 18:00","2022-12-10","2022-12-06","전시내용 : 한국사진작가 협회 거창지부 사진 전시입장료 : 무료","대관전시한국사진작가 협회 거창지부 정기회원전","41843045"
"거창군","055-940-8460","(재)거창문화재단","거창문화센터전시실","10:00 ~ 18:00","2022-12-03","2022-11-29","전시내용 :순수예술활성화육성지원사업 선정 작가 사진전시입장료 : 무료","최일수 사진전흑백으로 黃山을 담다","41843044"
"거창군","055-940-8460","대성고등학교","거창문화센터     공연장","19:00","2022-12-28","2022-12-28","공연내용 : 관내 대성고 학교 축제  입장료 : 무료","대성고 호반축제","41843043"
"거창군","055-940-8460","대성일고등학교","거창문화센터     공연장","19:00","2022-12-27","2022-12-27","공연내용 : 관내 대성일고 학교 축제  입장료 : 무료","대성일고 학교축제","41843042"
"거창군","055-940-8460","(재)거창문화재단","거창문화센터     공연장","19:30","2022-12-23","2022-12-23","공연내용 : 플라워밴드 콘서트입장료 : 1층20,000원 2층 10,000원","송년공연                  플라워 콘서트","41843041"
"거창군","055-940-8460","거창유치원","거창문화센터     공연장","19:00","2022-12-20","2022-12-20","공연내용 : 관내 거창유치원 학예발표 입장료 : 무료","거창유치원              학예발표회","41843040"
"거창군","055-940-8460","거창청소년예술단","거창문화센터     공연장","19:30","2022-12-19","2022-12-19","공연내용 : 거창청소년예술단 정기연주회입장료 : 무료","거창청소년예술단      정기연주회","41843039"
"거창군","055-940-8460","한국문화예술회관   연합회,               (재)거창문화재단","거창문화센터     공연장","19:30","2022-12-16","2022-12-16","공연내용 : 국악콘서트 공연  입장료 : 전석 5,000원","기획공연 국악콘서트!아리랑 랩소디","41843038"
"거창군","055-940-8460","거창음악협회","거창문화센터     공연장","19:30","2022-12-13","2022-12-13","공연내용 : 거창음악협회 정기연주회입장료 : 무료","거창음악협회           정기연주회","41843037"
"거창군","055-940-8460","(재)거창문화재단","거창문화센터     공연장","12-09 / 19:30      12-10/14:00,17:00","2022-12-10","2022-12-09","공연내용 : 온가족이 즐길 수 있는 어린이 뮤지컬  입장료 : 1층10,000원 2층 5,000원","기획공연 뮤지컬         '레미제라블'","41843036"
"거창군","055-940-8460","거창윈드오케스트라","거창문화센터     공연장","19:30","2022-12-02","2022-12-02","공연내용 : 수능생을 위한 음악회 입장료 : 무료","거창윈드오케스트라  수능생음악회","41843035"
"함양군","055-960-6710","함양군문화예술회관","함양문화예술회관 대공연장","14:00","2022-12-24","2022-12-24","2022년 <재능나눔콘서트> 개최","2022년 <재능나눔콘서트>","41843033"
"함양군","055-960-6710","함양군문화예술회관","함양문화예술회관 대공연장","19:00","2022-12-14","2022-12-14","송년음악회 <뮤지컬 갈라> 공연","송년음악회<뮤지컬 갈라>","41843032"
"함양군","055-960-6710","함양군문화예술회관","함양문화예술회관 대공연장","14:00","2022-12-03","2022-12-03","키즈국악콘서트<교과서에서 나온 재비> 공연","키즈국악콘서트<교과서에서 나온 재비>","41843031"
"산청군","055-970-6404","산청군·산청군기독교연합회","산청실내체육관","14:30","2022-12-11","2022-12-11","산청군민과 함께하는 성탄음악회(지역가수 천가연, 청소년 중창단 등)","성탄음악회","41843030"
"산청군","055-970-6405","산청군·산청매구보존회","산청문화예술회관 대공연장","14:30","2022-12-22","2022-12-22","제15회 산청매구보존회 정기공연","산청매구보존회 전통민속공연","41843029"
"하동군","055-880-2365","하동군","하동문화예술회관 대공연장","19:00","2022-12-14","2022-12-14","지역활력 문화공연(오페라 마술피리 공연)","오페라 마술피리 공연","41843028"
"하동군","055-880-2066","(사)한국서예협회경상남도지회","하동아트갤러리","10:00~18:00","2022-12-30","2022-12-03","대한민국 청년서예가 50인전 개최","대한민국 청년서예가 50인전","41843027"
"하동군","055-882-2675","박경리문학관","최참판댁","14:00~16:00","2022-12-03","2022-12-03","관내 기관단체장 시 낭독회 및 연말 불우이웃돕기 바자회 개최","기관단체장 시낭독회 및 바자회","41843026"
"남해군","055-860-8624","남해군","남해실내체육관","14:00~18:00","2022-12-17","2022-12-17","청춘밴드&퍼포먼스, 트롯 공연 등","2022 들썩들썩어울림한마당","41843025"
"남해군","055-860-8624","(사)한국예술인총연합회 남해지회","남해문화센터","10:00~19:00","2022-12-10","2022-12-10","전시회, 공연, 이봉조 추모콘서트","제2회 남해예술제","41843024"
"고성군","055-670-2204","고성군","고성CGV","09:00","2022-12-28","2022-12-28","문화가 있는 날 고성군민 무료영화 상영","우리동네영화보는날","41843023"
"고성군","","(사)한국조류보호협회 고성군지회","고성읍 기월리일원","09:00","2022-12-04","2022-12-02","독수리 심포지엄, 독수리사진전매사냥시연, 생태교육 등*개막식: 2022.12.3.(토) 10시","제3회 고성독수리철새맞이 생태축제","41843022"
"고성군","","고성군기독교연합회","고성읍 동외광장일원","09:00","2023-01-28","2022-11-30","성탄절과 연말연시를 맞이하여빛을 활용한 트리문화 축제*점등식: 2022.11.30.(수) 17:30","빛으로 만나는 문화축제(제6회 고성성탄트리문화축제)","41843021"
"고성군","055-670-5822","고성군","고성박물관","16:00","2022-12-15","2022-12-15","고성박물관 개관 10주년 기념 특별기획전 개막식(식전공연, 특별기획전 관람,토크콘서트 등)","고성박물관 개관 10주년 기념 특별기획전 개막식","41843020"
"고성군","","(사)소가야문화보존회","연화산도립공원내 옥천사","14:00","2022-12-03","2022-12-03","연말연시 음악회","연화옥천 개산예술제 기념 연말연시 음악회","41843019"
"고성군","02-838-9135","한국문화예술회관연합회고성군, (사)하늘에","고성군문화체육센터(2층공연장)","14:00","2022-12-03","2022-12-03","목 짧은 기린 지피 공연","2022년 방방곡곡 문화공감사업(목 짧은 기린 지피)","41843018"
"창녕군","055-530-1911","창녕군","창녕문화예술회관대전시실","매일10:00~17:00*월요일 휴관","2022-12-10","2022-11-29","미술 19점, 사진 26점 전시","창녕 시선(지역작가 협업전)","41843017"
"창녕군","055-530-1911","창녕군","창녕문화예술회관 대공연장","19:00(80분)","2022-12-15","2022-12-15","어둠 속을 사는 시각장애인에게 음악이 빛으로 다가와 희망과 위로가 된 이야기를 음악으로 담은 공연","뮤직 인 더 다크","41843016"
"창녕군","055-530-1911","창녕군","창녕문화예술회관 대공연장","19:00(100분)","2022-12-06","2022-12-06","신유, 박혜신, 조명섭 트로트 공연","트로트 빅3","41843015"
"창녕군","055-530-1911","창녕군","창녕문화예술회관 대공연장","19:00(90분)","2022-12-01","2022-12-01","11월 문화가있는날 공모사업 선정된 사업으로 창녕예총과 함께하는 지역문화예술인 상생프로젝트로 기획, 진행되는 공연","겨울의 길목 콘서트","41843014"
"함안군","","군북매구보존회","군북 3.1 체육관","미정","2022-12-20","2022-12-20","농악 활동 발표회","군북매구 전수활동","41843013"
"함안군","","함안윈드오케스트라","칠원도서관","17:00","2022-12-18","2022-12-18","오케스트라 공연","함안윈드오케스트라 제7회 정기연주회","41843012"
"함안군","","동신예술단","함안문화원","14:00","2022-12-18","2022-12-18","국악공연(가야금, 꽹과리, 설장구, 북난타, 함안화천농악 판굿 등)","제12회 함안국악동아리 축제한마당","41843011"
"함안군","055-583-1023","함안문화원","함안문화원","10:30","2022-12-02","2022-12-02","휘호대회 시상","제15회 군민휘호대회 시상식","41843010"
"함안군","055-583-1023","함안문화원","함안문화원","10:30~16:30","2022-12-02","2022-12-02","학술대회(광주안씨 문중)","제14회 함안의 인물과 학문 학술대회","41843009"
"함안군","","(사)한국미술협회 함안지부","함안문화예술회관 전시실","09:00~18:00","2022-12-09","2022-12-02","대관 전시(함안에 관한 풍경 등 전시)","아름다운 함안전","41843008"
"함안군","1833-4923","극단 지우","함안문화예술회관대공연장","14:00","2022-12-23","2022-12-23","대관 공연(극단 지우)","댄싱 피버","41843007"
"함안군","055-580-3623","함안군/함안문화예술회관,인천시티발레단","함안문화예술회관대공연장","15:00, 19:00","2022-12-17","2022-12-17","기획공연 호두까기 인형(인천시티발레단)","호두까기 인형","41843006"
"함안군","055-580-3623","함안군/함안문화예술회관,SPA엔터테인먼트","함안문화예술회관대공연장","19:30","2022-12-15","2022-12-15","기획공연 파리나무십자가소년합창단(파리나무십자가 소년합창단)","파리나무 십자가 소년합창단","41843005"
"함안군","055-580-3623","한국문화예술회관연합회,함안군/함안문화예술회관,목프로덕션","함안문화예술회관대공연장","19:30","2022-12-09","2022-12-09","기획공연 노부스 콰르텟 오직 베토벤(노부스 콰르텟)","노부스 콰르텟 오직 베토벤","41843004"
"함안군","","한국예총/함안군여성합창단","함안문화예술회관대공연장","19:00","2022-12-06","2022-12-06","대관공연(함안군 여성합창단 정기 공연 및 송년음악회)","제22회 정기공연 및 함안군민과 함께하는 송년음악회","41843003"
"함안군","055-580-3623","한국문화예술회관연합회,함안군/함안문화예술회관,극단 상록수","함안문화예술회관대공연장","15:00, 19:00","2022-12-03","2022-12-03","기획공연 개그쟁이 개그쇼(안상태, 송영길, 정승환 외 코미디언 다수)","개그쟁이 개그쇼","41843002"
"양산시","055-392-2544","양산소년소녀합창단","문화예술회관     대공연장","15:00","2022-12-31","2022-12-31","뮤지컬 합창공연(입장료 : 무료)","양산소년소녀합창단   정기연주회 '하쿠나 마타타'","41843001"
"양산시","055-379-8550","양산시시설관리공단/양산문화예술회관","문화예술회관 대공연장","19:30","2022-12-16","2022-12-16","락 콘서트(입장료: S석 7만원, A석 6만원)","[기획공연] 송년 락 콘서트","41843000"
"양산시","055-392-2555","경상남도, 양산시/(사)경상오페라단","쌍벽루아트홀 공연장","19:30","2022-12-14","2022-12-14","마당극 오페라 <말뚝이 가라사대> (입장료 : 무료)","경남도민예술단시군 순회공연","41842999"
"양산시","055-379-8550","양산시/양산시립합창단","문화예술회관 대공연장","19:30","2022-12-08","2022-12-08","송년음악회(입장료 : 무료, 예매진행 및 지정좌석제)","2022 양산시립합창단 송년음악회 <감동의 울림>","41842998"
"양산시","055-379-8560","양산시시설관리공단/쌍벽루아트홀","쌍벽루아트홀 공연장","17:00","2022-12-03","2022-12-03","콘서트(입장료 : 전석 3만원)","[기획공연] 유리상자 콘서트","41842997"
"거제시","055-680-1012","거제시문화예술재단","거제문화예술회관 전시실","10:00~18:00","2022-12-29","2022-12-24","행사설명 : 거제문화예술회관 문화예술교육 프로그램 참여자들의 작품전입장료(관람료) : 무료","2022 문화예술교육 프로그램 작품 전시회","41842996"
"거제시","","한국미술협회 거제지부","거제문화예술회관 전시실","10:00~18:00","2022-12-21","2022-12-15","행사설명 : 서양화, 한국화, 서예, 공예, 디자인 등 다양한 시각 예술 장르에서 활동하고 있는 거제 지역 작가들 작품 50점이 전시되는 거제미술협회 작가전입장료(관람료) : 무료","한국미술협회 거제지부 정기전","41842995"
"거제시","","서화묵일회","거제문화예술회관 전시실","10:00~18:00","2022-12-13","2022-12-09","행사설명 : 거제 지역에서 활동하는 서예가들의 모임인 서화묵일회의 7회 정기전으로 전통 서예 작품을 중심으로 한 전시입장료(관람료) : 무료","서화묵일회 제7회 회원전","41842994"
"거제시","","권용복","거제문화예술회관 전시실","10:00~18:00","2022-12-08","2022-12-02","행사설명 : 권용복 작가의 풍경을 중심으로 한 다양한 회화 작품을 만나볼 수 있는 작가 개인전입장료(관람료) : 무료","권용복 개인전","41842993"
"거제시","","거제에코투어","거제문화예술회관 소시실","19:30","2022-12-28","2022-12-28","행사설명 : 클래식 기타리스트 장하은과 강종호밴드 고연입장료(관람료) : 전석 2만원     초등학생이상 관람가","장하은 희망의 거제 송년콘서트","41842992"
"거제시","055-680-1050","거제시문화예술재단","거제문화예술회관 소극장","10:30","2022-12-21","2022-12-21","행사설명 : 작곡자 푸치니의 유명작품을 성악 앙상블로 감상하는 음악공연                 입장료(관람료) : 1만원         초등학생이상 관람가","거제, 아침애 음악회 <푸치니-네버엔딩 러브 스토리>","41842991"
"거제시","055-687-8033","거제상투스합창단","거제문화예술회관 소극장","19:30","2022-12-20","2022-12-20","행사설명 : 지역 청소년 중창단 공연                            입장료(관람료) : 무료","거제상투스합창단 송년콘서트","41842990"
"거제시","055-680-1050","거제시문화예술재단","거제문화예술회관 대극장","19:30","2022-12-19","2022-12-19","행사설명 : 국립합창단의 나눔음악회                         입장료(관람료) : 무료(지정좌석제 예매필수                           초등학생이상 관람가","창작합창서사시 <훈민정음>","41842989"
"거제시","055-680-1013","거제시문화예술재단 / 거제시청소년오케스트라","거제문화예술회관 대극장","17:00","2022-12-17","2022-12-17","행사설명 : 거제시청소년오케스트라 정기연주회                            입장료(관람료) : 무료","거제시청소년오케스트라 제11회 정기연주회","41842988"
"거제시","","한국음악협회 거제지부","거제문화예술회관 소극장","19:30","2022-12-16","2022-12-16","행사설명 : 거제음협 공연                            입장료(관람료) : 무료","거제음협 송년음악회","41842987"
"거제시","02-3463-2466","㈜ 브라보컴","거제문화예술회관 대극장","19:30","2022-12-12","2022-12-12","행사설명 : 바르나국립발레단의 공연                            입장료(관람료) : R석 7만원 / S석 6만원 / A석 5만            만5세 이상 관람가","바르나국립발레 <호두까기 인형>","41842986"
"거제시","02-3463-2466","㈜ 브라보컴","거제문화예술회관 대극장","19:30","2022-12-12","2022-12-12","행사설명 : 바르나국립발레단의 공연                            입장료(관람료) : R석 7만원 / S석 6만원 / A석 5만            만5세 이상 관람가","바르나국립발레 <백조의 호수>","41842985"
