"팩스번호","연락처","홈페이지","소재지","관리기관명","기관명","시군구명","고유번호"
"-","055-673-4951","http://www.okcheonsa.or.kr/","경상남도 고성군 개천면 연화산1로 471-9","","옥천사성보박물관","고성군","4078015"
"055-345-7785","055-345-7736","-","김해시 한림면 김해대로 1029-20","","한림민속박물관","김해시","2066849"
"055-632-0672","055-632-0670","www.hggmuseum.com/","거제시 남부면 해금강로 120","","해금강테마박물관","거제시","2066848"
"-","055-670-2825","museum.goseong.go.kr","고성군 하이면 자란만로 618","","고성공룡박물관","고성군","2066846"
"055-580","055-580-3901","museum.haman.go.kr","함안군 가야읍 고분길 153-31","","함안박물관","함안군","2066844"
"-","055-331-2357","ds.gimhae.go.kr","김해시 가야의길 126 (대성동)","","대성동고분박물관","김해시","2066843"
"055-352-1936","055-353-3907","-","밀양시 단장면 표충로 1338","","표충사호국박물관","밀양시","2066842"
"-","055-549-1180","museum.navy.ac.kr","창원시 진해구 중원로 1","","해군사관학교 박물관","창원시","2066839"
"-","055-772-0601","http://museum.gnu.ac.kr/","진주시 진주대로 501 (가좌동)","","경상대학교박물관","진주시","2066837"
"-","055-637-3722","-","거제시 연초면 대금산로 339-7","","거제민속박물관","거제시","2066836"
"-","055-391-2882","www.miribeol.org","밀양시 초동면 초동중앙로 439","","미리벌민속박물관","밀양시","2066835"
"-","055-530-2246","museum.cng.go.kr","창녕군 창녕읍 창밀로 34","","창녕박물관","창녕군","2066834"
"-","055-354-3294","http://museum.miryang.go.kr/","밀양시 영남루1길 20-4 (내일동)","","밀양시립박물관","밀양시","2066833"
"055-8749","055-940-8740","www.geochang.go.kr/museum/Index.do","거창군 거창읍 수남로 2181","","거창박물관","거창군","2066831"
"-","055-382-1001","http://www.tongdomuseum.or.kr/","양산시 하북면 통도로 86","","통도사성보박물관","양산시","2066830"
"-","055-687-6790","http://www.geojemuseum.or.kr/","거제시 거제대로 3791 (옥포동)","","거제박물관","거제시","2066829"
"-","055-742-5951","jinju.museum.go.kr","진주시 남강로 626-35 (남성동)","","국립진주박물관","진주시","2066828"
"-","055-548-2053","-","창원시 진해구 중원동로 52 (제황산동)","","창원시립진해박물관","창원시","2066214"
"-","055-749-2518","bronze.jinju.go.kr","진주시 대평면 호반로 1353","","진주청동기문화박물관","진주시","2066212"
"-","055-639-3384","-","거제시 일운면 지세포해안로 41","","거제어촌민속전시관","거제시","2066211"
"-","055-320-3178","injemuseum.inje.ac.kr","김해시 인제로 197 (어방동)","","인제대학교박물관","김해시","2066208"
"-","055-213-2431","museum.changwon.ac.kr","창원시 의창구 퇴촌로 92 (퇴촌동)","","창원대학교박물관","창원시","2066207"
"-","055-970-6438","-","산청군 금서면 동의보감로 555","","산청한의학박물관","산청군","2066206"
