시군구명,접근성 변수명,남,여
김해시,세대인구_외국인," 15,585 "," 5,840 "
김해시,세대인구_성별," 269,755 "," 263,904 "
김해시,거주인구_총인구," 285,340 "," 269,744 "
김해시,연령별_100세 이상인구, 4 , 31 
김해시,연령별_10대미만 인구," 20,507 "," 19,172 "
김해시,연령별_10대인구," 30,468 "," 28,953 "
김해시,연령별_20대인구," 33,048 "," 27,032 "
김해시,연령별_30대인구," 33,134 "," 30,200 "
김해시,연령별_40대인구," 45,884 "," 45,920 "
김해시,연령별_50대인구," 51,694 "," 51,022 "
김해시,연령별_60대인구," 36,598 "," 34,544 "
김해시,연령별_70대인구," 13,573 "," 16,304 "
김해시,연령별_80대인구," 4,515 "," 9,302 "
김해시,연령별_90대인구, 330 ," 1,424 "
창원시,세대인구_외국인,10242,6180
창원시,세대인구_성별," 510,633 "," 498,405 "
창원시,거주인구_연령," 520,875 "," 504,585 "
창원시,연령별_10대미만 인구," 34,431 "," 32,624 "
창원시,연령별_10대인구," 50,250 "," 46,548 "
창원시,연령별_20대인구," 62,525 "," 48,200 "
창원시,연령별_30대인구," 64,951 "," 56,354 "
창원시,연령별_40대인구," 82,096 "," 77,848 "
창원시,연령별_50대인구," 89,972 "," 91,832 "
창원시,연령별_60대인구," 79,965 "," 81,970 "
창원시,연령별_70대인구," 34,631 "," 39,349 "
창원시,연령별_80대인구," 10,994 "," 20,159 "
창원시,연령별_90대인구, 806 ," 3,457 "
창원시,연령별_100세 이상인구, 12 , 64 
의령군,세대인구_외국인, 625 , 259 
의령군,세대인구_성별," 12,668 "," 12,807 "
의령군,거주인구_총인구," 13,293 "," 13,066 "
의령군,연령별_100세 이상인구, 5 , 12 
의령군,연령별_10대미만 인구, 459 ," 13,034 "
의령군,연령별_10대인구, 719 , 629 
의령군,연령별_20대인구, 881 , 580 
의령군,연령별_30대인구, 787 , 713 
의령군,연령별_40대인구," 1,365 "," 1,056 "
의령군,연령별_50대인구," 2,405 "," 1,884 "
의령군,연령별_60대인구," 3,294 "," 2,803 "
의령군,연령별_70대인구," 1,750 "," 2,065 "
의령군,연령별_80대인구, 897 ," 2,228 "
의령군,연령별_90대인구, 106 , 458 
산청군,세대인구_외국인, 385 , 484 
산청군,세대인구_성별," 16,758 "," 16,994 "
산청군,거주인구_총인구," 17,143 "," 17,478 "
산청군,연령별_100세 이상인구, 2 , 15 
산청군,연령별_10대미만 인구, 965 , 467 
산청군,연령별_10대인구," 1,031 ", 864 
산청군,연령별_20대인구," 1,151 ", 829 
산청군,연령별_30대인구, 966 , 783 
산청군,연령별_40대인구," 1,597 "," 1,355 "
산청군,연령별_50대인구," 3,339 "," 2,740 "
산청군,연령별_60대인구," 4,330 "," 3,904 "
산청군,연령별_70대인구," 2,520 "," 2,740 "
산청군,연령별_80대인구," 1,216 "," 2,734 "
산청군,연령별_90대인구, 108 , 563 
