시군구명,주차장명,위도,경도
의령군,의령 복개천 주차장,35.31840331,128.2636462
의령군,의령향교-의령택시 주차장,35.32161684,128.2580654
의령군,서동농협-상동우수저류시설 주차장,35.32107792,128.2598913
의령군,자굴산슈퍼-수정식당 주차장,35.32178248,128.2626471
김해시,굴암산 등산로 제2주차장,35.177519,128.785661
김해시,평지마을 주차장,35.225522,128.7330234
김해시,김해가야테마파크,35.251635,128.893749
김해시,김해가야테마파크(확장),35.251635,128.893749
김해시,낙동강레일파크,35.373785,128.819155
김해시,김해시청역 복합주차장,35.226462,128.890019
김해시,"활천,인제대역 환승주차장",35.227523,128.900953
김해시,삼방동 공영주차장,35.250192,128.9087503
김해시,서상동 공영주차장,35.235398,128.8819801
김해시,율하 먹자촌 공영주차장,35.174223,128.814636
김해시,"장유중앙광장1,2",35.194372,128.803361
김해시,동상시장 공영주차장,35.235476,128.884274
김해시,장유전통시장 공영주차장,35.20082831,128.814636
김해시,진영전통시장 공영주차장,35.302461,128.732825
김해시,공주공원 공영주차장,35.23479223,128.867924
김해시,분성로 공영주차장,35.23280741,128.881043
김해시,삼계44통 공영주차장,35.26272987,128.868035
김해시,동상동주민자치센터 공영주차장,35.236529,128.882442
김해시,거북공원 공영주차장,35.236195,128.865744
김해시,연지공원 공영주차장,35.245069,128.8705006
김해시,생림화물자동차 공영차고지,35.321919,128.857409
김해시,굴암산 등산로 제1주차장,35.174552,128.800892
김해시,호계로 노상주차장,35.233287,128.884545
김해시,내외동 중심상업지역 노상주차장,35.23773013,128.863212
김해시,부원동 노상주차장,35.231336,128.884194
김해시,진영중흥S클래스 뒷편 노상주차장,35.313497,128.730197
김해시,외동전통시장 노상주차장,35.23228367,128.864751
김해시,구산동고분군,35.244142,128.879669
김해시,봉황동 유적 주차장,35.231914,128.874666
김해시,수로왕비릉 주차장,35.242663,128.877877
김해시,김해중소기업비즈니스센터,35.212634,128.831968
김해시,대성동고분박물관주차장,35.235829,128.873435
김해시,불암역 환승주차장(불암동행정복지센터 부설),35.22218999,128.927003
김해시,신어산산림욕장,35.269382,128.910101
김해시,능동체육공원,35.201652,128.797978
김해시,반룡산공원,35.17958106,128.80546
김해시,진례전통시장 옥상주차장,35.248622,128.748925
김해시,진영공설마트 주차장,35.30254006,128.730404
김해시,한림면공영주차장,35.322843,128.800347
김해시,서김해화물자동차 주차장,35.213877,128.846681
김해시,부원역 환승주차장,35.225187,128.885266
김해시,화목3통,35.18929012,128.866904
김해시,반도보라아파트 뒤편공영주차장,35.22221407,128.872199
김해시,대청계곡 제2공영주차장,35.182212,128.767904
김해시,북부동 중심상업지역 노상주차장,35.262141,128.869223
김해시,율하 먹자촌 노상주차장,35.174901,128.814828
김해시,장유3동 중심상업지역 노상주차장,35.172109,128.813425
김해시,장유3동 중심상업지역 노상주차장,35.171191,128.814872
김해시,장유코아상가 노상주차장,35.202349,128.808341
의령군,의령 동동지구 주차장1,35.31892601,128.2691686
의령군,의령 동동지구 주차장2,35.31886111,128.2716621
의령군,의령시장 보훈회관(신협)옆,35.31867597,128.2628211
의령군,부림 신반시장 옆 주차장,35.46783399,128.3261678
의령군,신포주차장,35.33640508,128.199042
의령군,산남주차장,35.349925,128.168907
의령군,2020년 2월 도시계획도로완성 후 이관된 주차장,35.32032681,128.260645
의령군,서본 작은주차장2,35.32035244,128.2597547
의령군,서본 작은주차장1,35.32006701,128.2587961
의령군,의령읍 서동 공영주차장,35.31943074,128.2580473
의령군,동본 주차장,35.32070329,128.2645034
의령군,중동 공영주차장,35.317557,128.263473
의령군,군민문화회관 공영주차장,35.317527,128.2641965
김해시,테크노밸리 중앙주차장,35.267841,128.769938
김해시,한림면사무소 우체국옆,35.320361,128.802827
김해시,한림문화마을,35.325291,128.803205
김해시,한림신봉마을,35.325004,128.800396
의령군,신기마을 주차장,35.35006521,128.1023529
의령군,신기마을 주차장,35.45639955,128.2539327
의령군,행정마을 주차장,35.38827114,128.1666157
의령군,부림 중동주차장,35.46443445,128.3216981
의령군,상동우수저류시설 주차장,35.32088903,128.2599834
의령군,부림면 현동마을 주차장,35.46894121,128.324336
의령군,상촌마을 주차장,35.41757335,128.2755151
의령군,신송산2구마을 주차장,35.42395163,128.2883273
의령군,하촌마을 주차장,35.38063204,128.1376352
의령군,서부동 주차장,35.32000349,128.2597409
의령군,덕교마을 주차장,35.29118898,128.1944389
의령군,백야마을 주차장,35.31270706,128.2875909
의령군,상정마을 주차장,35.27713312,128.2112395
의령군,정동마을 주차장,35.34439756,128.3020484
의령군,상동(소입)우수저류시설 주차장,35.321429,128.2663957
의령군,의령시장 약초시장주차장,35.3185323,128.2604172
의령군,구성마을 주차장,35.37234181,128.1068894
의령군,개승마을 주차장,35.37604192,128.2324065
의령군,의령시장 제2주차장(의령전통시장주차빌딩),35.31831488,128.2599603
의령군,무상마을 주차장,35.33319951,128.2671641
의령군,상동마을 주차장,35.32256463,128.260226
의령군,장내 이병철생가 주차장,35.38081421,128.3259438
의령군,죽전2구마을 주차장,35.47027077,128.2706995
의령군,청계마을 추자장,35.4794366,128.2344695
의령군,의령읍 남산동 주차장,35.319422,128.2656026
의령군,서본주차장,35.32045275,128.2582019
의령군,서신주차장,35.32093613,128.2557008
의령군,마산마을 주차장,35.36633094,128.4105058
의령군,미곡마을 주차장,35.34859474,128.268727
의령군,평촌마을 주차장,35.36674752,128.1198355
의령군,곡소마을 주차장,35.38695892,128.1755663
의령군,당지마을2 주차장,35.48778733,128.4125696
의령군,마전마을 주차장,35.37036355,128.165949
의령군,상촌마을 주차장,35.41190634,128.4187455
의령군,심지 정자밖 주차장,35.34122529,128.1127291
의령군,양성마을 주차장,35.38893369,128.228989
의령군,장내 부자한우촌 주차장,35.38034638,128.3251874
산청군,꽃봉산주차장(남산마을) 주차장,35.41055098,127.873124
산청군,옥산2구마을(김영희아구찜앞) 주차장,35.41460164,127.874757
산청군,산청경찰서 앞 주차장,35.41644279,127.874442
산청군,산청군 보건의료원 주변 주차장,35.4160184,127.8842361
산청군,대한노인회 산청군지회 옆 주차장,35.41591851,127.874661
산청군,산청읍행정복지센터 주차장,35.4136709,127.877225
산청군,차황면사무소 주차장,35.46368845,127.927879
산청군,오부면사무소 주차장,35.45872341,127.8619541
산청군,생초면사무소 주차장,35.4931251,127.8328913
산청군,금서면사무소 주차장,35.41746775,127.8631146
산청군,삼장면사무소 주차장,35.29823365,127.8317583
산청군,시천면사무소 주차장,35.27840996,127.8405654
산청군,단성면사무소 주차장,35.2990426,127.9573214
산청군,신안면사무소 주차장,35.3039373,127.973024
산청군,생비량면사무소 주차장,35.34542458,128.0442743
산청군,신등면사무소 주차장,35.3828318,128.0066007
산청군,의회청사 뒷편 임시주차장,35.41582745,127.874431
산청군,산청시장 주변 공영주차장,35.414757,127.877002
산청군,영남탕-보광전기 주차장,35.41729932,127.878024
산청군,킹스할인마트 앞 주차장,35.41332814,127.8742661
산청군,현대오토바이-해장국 설렁탕 주차장,35.41332814,127.8742661
산청군,한마음공원 주차장,35.41461409,127.8742428
창원시,성주사역 노상,35.28452,128.713216
창원시,용지호수 파리바게트 앞 노상,35.235058,128.680555
