,행정동,설치장소,위도,경도,시군구
0,진영읍,진영문화센터 주차장 안,35.30462113,128.7374165,김해시
1,진영읍,진영공설운동장 주차장(주출입구 우측편),35.30882469,128.7175621,김해시
2,진영읍,봉하마을 공영주차장　,35.31370043,128.7705161,김해시
3,진영읍,진영한빛도서관,35.30450333,128.7364433,김해시
4,진영읍,진영도서관,35.30452772,128.7413316,김해시
5,진영읍,진영스포츠센터,35.30788002,128.7170337,김해시
6,진영읍,진영읍행정복지센터,35.30449153,128.7334744,김해시
7,주촌면,김해골든루트일반산단 -1　,35.21784737,128.8273257,김해시
8,주촌면,김해골든루트일반산단 -2　,35.22330965,128.8240146,김해시
9,주촌면,주촌면 행정복지센터,35.23581248,128.8307512,김해시
10,주촌면,주촌면 무지개공원,35.24145882,128.8354071,김해시
11,주촌면,김해 지혜의바다 도서관 주차장내,35.23575276,128.8215763,김해시
12,주촌면,제니스교차로 두영빌딩앞,35.23387948,128.839235,김해시
13,진례면, 클레이아크김해 1주차장 입구,35.25179532,128.7455164,김해시
14,진례면,테크로밸리공단 공원내,35.26626863,128.7709345,김해시
15,한림면,한림면행정복지센터,35.32036123,128.8022432,김해시
16,한림면,한림배수문 공중화장실앞,35.35129341,128.8051074,김해시
17,한림면,한림배수문 근처 공원,35.35170559,128.8046078,김해시
18,한림면,모정고개 정자옆,35.35343378,128.8112406,김해시
19,한림면,화포천습지생태공원 공중화장실 옆,35.31067446,128.7887286,김해시
20,생림면,생림마사터널자전거카페앞,35.35610761,128.8112196,김해시
21,동상동,김해중학교북측 게시대좌우,35.23249991,128.8847539,김해시
22,회현동,김해중부경찰서 맞은편,35.22570885,128.8785113,김해시
23,회현동,봉행대공원(남)공중화장실앞 광장,35.22978478,128.8744479,김해시
24,회현동,김해시 자전거 교육장　,35.23280732,128.8733648,김해시
25,회현동,김해중부경찰서앞 정문,35.22621575,128.8787536,김해시
26,회현동,한옥체험관　,35.23377084,128.8773048,김해시
27,회현동,회현동행정복지센터 정문 우측,35.23173218,128.8781515,김해시
28,회현동,김해도서관,35.23356832,128.8745591,김해시
29,회현동,대성동 고분박물관 인근 에스에스커피 앞,35.23501098,128.8728235,김해시
30,회현동,축협사거리 축산농협정문 앞,35.23166268,128.8799598,김해시
31,부원동,부원역 2번출구 그린코아 상가 앞,35.22668926,128.8839017,김해시
32,부원동,아이스퀘어몰 아이스퀘어 호텔 앞,35.22629324,128.8847596,김해시
33,부원동,아이스퀘어몰 택시승강장 앞,35.22618573,128.8830685,김해시
34,부원동,김해시청역 2번 출구,35.2273155,128.8900956,김해시
35,부원동,김해시청역 부산방향,35.22690454,128.8904475,김해시
36,부원동,부원동행정복지센터,35.22900989,128.8868328,김해시
