,구,주소,위도,경도
0,의창구,경남 창원시 의창구 동읍 신방리 871-6 수로,35.29124577,128.6758769
1,의창구,경남 창원시 의창구 동읍 용잠리 230-7 대,35.27961762,128.6887193
2,의창구,경남 창원시 의창구 동읍 용잠리 687),35.2839562,128.6818273
3,의창구,경남 창원시 의창구 동읍 송정리 98-21,35.27715209,128.7005666
4,의창구,경남 창원시 의창구 동읍 월잠리 303-7,35.3060586,128.6782436
5,의창구,경남 창원시 의창구 북면 감계리 237-1 (경남은행북면점앞),35.3012806,128.5942011
6,의창구,경남 창원시 의창구 북면 감계리 740-2 (덕산아내버스정류소),35.3023499,128.5903715
7,의창구,경남 창원시 의창구 북면 감계리 732 버스정류소,35.3001907,128.5863152
8,의창구,경남 창원시 의창구 북면 무동리 209 휴먼빌 버스정류소,35.3186609,128.5854714
9,의창구,경남 창원시 의창구 북면 무동리 209,35.3190526,128.5799514
10,의창구,경남 창원시 의창구 북면 무동리 255 무동입구,35.3164022,128.5848223
11,의창구,경남 창원시 의창구 북면 마산리 148-64,35.3458632,128.6181001
12,의창구,경남 창원시 의창구 북면 신촌리 964-5 전,35.34809693,128.6076093
13,의창구,경남 창원시 의창구 북면 외산리 34-1,35.376186,128.6125191
14,의창구,경남 창원시 의창구 북면 신촌리 북면온천,35.35329048,128.6116755
15,의창구,경남 창원시 의창구 북면 무동리 255 창북중학교 사거리,35.3163908,128.5802038
16,의창구,경남 창원시 의창구 북면 무동리 103-2 ,35.3224404,128.5801944
17,의창구,경남 창원시 의창구 서상동  344-4,35.26217775,128.6183274
18,의창구,경남 창원시 의창구 소답동  168 (금호온천앞),35.261568,128.6297216
19,의창구,경남 창원시 의창구 동정동  775-3,35.2601404,128.6104236
20,의창구,경남 창원시 의창구 소계동  366-3 도,35.25584599,128.6003378
21,의창구,경남 창원시 의창구 중동  793-1,35.257951,128.6281847
22,의창구,경남 창원시 의창구 서상동  305-6,35.26133675,128.6207601
23,의창구,경남 창원시 의창구 서상동  327-2,35.2618147,128.6198609
24,의창구,경남 창원시 의창구 북동  260 대,35.26526569,128.6208031
25,의창구,경남 창원시 의창구 소답동  365 유,35.26636506,128.6238152
26,의창구,경남 창원시 의창구 서상동  600-7 도,35.26210109,128.6147654
27,의창구,경남 창원시 의창구 서상동  661-1,35.2611977,128.6242618
28,의창구,경남 창원시 의창구 서상동  15-1,35.2616582,128.6226793
29,의창구,경남 창원시 의창구 서상동  215-2,35.2615892,128.6172887
30,의창구,경남 창원시 의창구 중동  794-13 공영주차장,35.2527566,128.6222807
31,의창구,경남 창원시 의창구 소답동  114번지 앞 보도,35.26150977,128.6260951
32,의창구,경남 창원시 의창구 중동  722,35.2556379,128.6226887
33,의창구,경남 창원시 의창구 동정동  708-63 답,35.2574865,128.6071935
34,의창구,경남 창원시 의창구 소계동  775-3,35.256404,128.6063272
35,의창구,경남 창원시 의창구 팔용동  503-3 도,35.2469667,128.6152938
36,의창구,경남 창원시 의창구 팔용동  35-7,35.2351505,128.6406071
